name,task,url,price,saves,likes,stars,period
MyFoodPlanet,Meal plans,https://myfoodplanet.com/?ref=taaft&utm_source=taaft&utm_medium=referral,From $9.99/mo,11,N/A,N/A,february
Soona,Product images,https://soona.co/start?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,5,N/A,N/A,february
Chatlify,Customer support,https://chatlify.me/?ref=taaft&utm_source=taaft&utm_medium=referral,From $99/mo,1,N/A,N/A,february
ImageTwin,Data integrity analysis,https://imagetwin.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,4,N/A,N/A,february
Sheet Copilot,Spreadsheet tasks,https://www.sheetcopilot.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,28,4,4.5,february
UnboundAI Technology,Image generation,https://unboundai.technology/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,9,N/A,N/A,february
Esame strategy,Exam preparation,https://chat.openai.com/g/g-WH5GKFM2i-esame-strategy?ref=taaft&utm_source=taaft&utm_medium=referral,Free,3,N/A,N/A,february
PM Assistant,Project management,https://chat.openai.com/g/g-3hEmK3rca-pm-assistant?ref=taaft&utm_source=taaft&utm_medium=referral,Free,3,N/A,N/A,february
Document Management Tool,Document management,https://chat.openai.com/g/g-CQVK7Zjuc-document-management-tool?ref=taaft&utm_source=taaft&utm_medium=referral,Free,1,N/A,N/A,february
Business Applications Sync,SaaS management,https://chat.openai.com/g/g-ojVKSjGCc-business-applications-sync?ref=taaft&utm_source=taaft&utm_medium=referral,Free,2,N/A,N/A,february
Ruby on Rails Database Management,Database management,https://chat.openai.com/g/g-xcOJfUFsA-ruby-on-rails-database-management?ref=taaft&utm_source=taaft&utm_medium=referral,Free,N/A,N/A,N/A,february
Vello,Productivity,https://hello.vello.ai/,Free Tier. Pro & Team Plans start from $17/mo,15,1,5.0,february
InfluencerFarm,Virtual influencers,https://influencerfarm.io/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,33,1,5.0,february
Syncly,Customer feedback analysis,https://syncly.app/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,12,N/A,5.0,february
VisionDub,Video dubbing,https://visiondub.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,19,N/A,N/A,february
PixCanva,Images,https://www.pixcanva.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,24,1,4.5,february
Lina.Place,Art therapy,https://lina.place/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,11,N/A,N/A,february
Enhanced Journal,Journaling,https://www.enhancedjournal.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,25,N/A,5.0,february
Content by Modern Gentelman,Writing,https://chat.openai.com/g/g-8QaUJCd4Y-content?ref=taaft&utm_source=taaft&utm_medium=referral,Free,7,N/A,N/A,february
AI-Powered Content Generation GPT,SEO content,https://chat.openai.com/g/g-j2moP6gCI-ai-powered-content-generation-gpt?ref=taaft&utm_source=taaft&utm_medium=referral,Free,4,N/A,N/A,february
My DataBases Sql Query Generator,SQL queries,https://chat.openai.com/g/g-U5cUnz0fz-my-databases-sql-query-generator?ref=taaft&utm_source=taaft&utm_medium=referral,Free,N/A,N/A,N/A,february
SQLHelper,SQL queries,https://chat.openai.com/g/g-1ViSRNcw3-sql-helper?ref=taaft&utm_source=taaft&utm_medium=referral,Free,N/A,N/A,N/A,february
QualityX aiTest,App testing,https://app.aitest.qualityx.io/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,15,5,4.8,february
MPT House,Music creation,https://mpt.house/?utm_source=g2&utm_medium=theresanaiforthat&utm_campaign=submit_20240202,No pricing,20,N/A,2.0,february
AI Phone,Calls,https://www.aiphone.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,16,N/A,N/A,february
Graphix AI,Images,https://play.google.com/store/apps/details?id=com.ligan.graphixai&ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,26,1,5.0,february
Healthy Menu with AI GPT,Meal plans,https://play.google.com/store/apps/details?id=com.makeevapps.healthymenu&ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,23,N/A,N/A,february
Rimo,Article writing,https://rimo.app/en/about/ai-editor?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,33,N/A,3.0,february
AIImageGenerator,Image generation,https://aiimagegenerator.is/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,34,N/A,N/A,february
SignEasyNow,Document management,https://www.signeasynow.com/solutions/startups?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,9,N/A,N/A,february
Aidely,Chatting,https://apps.apple.com/tn/app/aidely-ai-playground/id6447820638?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,13,N/A,N/A,february
Product Manager Assistant GPT,Product development,https://chat.openai.com/g/g-z7JCLjcFB-product-manager-assistant?ref=taaft&utm_source=taaft&utm_medium=referral,Free,13,N/A,N/A,february
Botcast AI,Podcasts,https://www.botcastai.com/?ref=taaft&utm_source=taaft&utm_medium=referral,From $15/mo,25,N/A,5.0,february
ResuAudio,Audio summaries,https://www.resuaudio.pro/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,19,N/A,N/A,february
AI Humanizer,Text humanization,https://www.aihumanizer.org/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,36,1,1.0,february
Trilogy Document Manager,Document management,https://chat.openai.com/g/g-aqYBkC2e9-trilogy-document-manager?ref=taaft&utm_source=taaft&utm_medium=referral,Free,25,N/A,N/A,february
Video GPT,Video generation,https://chat.openai.com/g/g-MJM52gB3D-video-gpt?ref=taaft&utm_source=taaft&utm_medium=referral,Free,29,N/A,N/A,february
Topyc,Content generation,https://topyc.io/?ref=taaft&utm_source=taaft&utm_medium=referral,Free + from $20/mo,23,N/A,N/A,february
RunComfy,Video generation,https://www.runcomfy.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,18,N/A,5.0,february
Ask on Video,Video Q&A,https://chromewebstore.google.com/detail/ask-on-video-1-click-capt/bjgcfacigblojjkeobfenmllnoknadkc?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,15,N/A,5.0,february
Chaterimo,Customer engagement,https://www.chaterimo.com/en/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from €9/mo,7,N/A,N/A,february
Front Maker,Website building,https://front-maker.com/?ref=taaft&utm_source=taaft&utm_medium=referral,From $10/mo,20,1,5.0,february
Go Boldly,Financial advice,https://gobold.ly/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,12,N/A,N/A,february
Celebrity AI Voice,Voice cloning,https://www.celebrityaivoice.net/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $19.9,35,1,3.0,february
Joia,Team collaboration,https://joia.so/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,3,N/A,N/A,february
Deepwander,Therapy,https://www.deepwander.com/?ref=taaft&utm_source=taaft&utm_medium=referral,Free + from $6.99/mo,49,3,5.0,february
Charlie Lounge,Chatbots,https://charlielounge.com/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $99/mo,4,N/A,N/A,february
BannerGate,Banners,https://www.bannergate.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,From $6.99/mo,13,N/A,N/A,february
Insighto,Chatbots,https://insighto.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $24/mo,20,1,5.0,february
Planio,Technical documentation,https://planio.io/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,13,N/A,N/A,february
ThreadScribe,Conversation summaries,https://www.threadscribe.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,7,N/A,N/A,february
Trelent,Enterprise assistants,https://www.trelent.com/?ref=taaft&utm_source=taaft&utm_medium=referral,From $50/m o,6,N/A,N/A,february
AFI Explorer,AirForce publications Q&A,https://afiexplorer.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,3,N/A,N/A,february
GetIdol,AI characters,https://getidol.com/?ref=taaft,No pricing,6,1,5.0,february
Encyclopdia Automatica,Content generation,https://encyclopaediaautomatica.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,2,N/A,N/A,february
Recruiter Assistant,Candidate screening,https://chat.openai.com/g/g-OMCVYamnD-recruiter-assistant-pre-interview-ai-evaluation?ref=taaft&utm_source=taaft&utm_medium=referral,Free,2,N/A,N/A,february
Axonn - Personal AI models for Twitter and LinkedIn,Social media posts,https://www.axonn.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,From $37/mo,13,N/A,N/A,february
Dola,Calendar assistant,https://hidola.ai/en?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,21,N/A,N/A,february
R10s,Summaries,https://apps.apple.com/us/app/r10s-ai-text-summarizer/id6451234112?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $12.99/mo,6,N/A,N/A,february
TruBot,Personal assistant,https://play.google.com/store/apps/details?id=com.gmail.praveenishi75.trubotaihelper&ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,17,N/A,N/A,february
Supermoon,Customer support,https://getsupermoon.com/?ref=taaft&utm_source=taaft&utm_medium=referral,From $8/mo,18,N/A,5.0,february
Refeat,Data analysis,https://www.refeatai.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,7,N/A,N/A,february
Meals.chat,Diet plans,https://meals.chat/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,14,N/A,5.0,february
Promptcast,Podcast summaries,https://promptcast.app/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,11,N/A,N/A,february
Maple CMS,Content generation,https://www.maplecms.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $39/mo,20,1,5.0,february
Snaprizz,Online dating chat suggestions,https://www.snaprizz.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,4,N/A,N/A,february
Brilliant Labs,Augmented reality,https://brilliant.xyz/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,10,N/A,N/A,february
Interview Insight 3.5,Interview preparation,https://chat.openai.com/g/g-y3AxKkXCy-interview-insight-3-5?ref=taaft&utm_source=taaft&utm_medium=referral,Free,1,N/A,N/A,february
ReplyGuy,Social media replies,https://replyguy.com/?ref=taaft&utm_source=taaft&utm_medium=referral,From $10/mo,55,2,5.0,february
CodeAnt AI,Code debugging,https://www.codeant.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,9,N/A,5.0,february
BeamJobs,Resumes & cover letters,https://www.beamjobs.com/cover-letter-generator?ref=taaft&utm_source=taaft&utm_medium=referral,Free,15,N/A,N/A,february
Page Assist,Browser tabs management,https://chromewebstore.google.com/detail/page-assist-a-web-ui-for/jfgfiigpkhlkbnfnbobbkinehhfdhndo?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,7,N/A,N/A,february
Dream Prewedding,Pre-wedding photos,https://dreamprewedding.com/?ref=taaft&utm_source=taaft&utm_medium=referral,From $18,6,N/A,N/A,february
YouReplied,Corporate communication,https://youreplied.com?utm_source=there_is_an_ai_for_that&utm_medium=app&utm_campaign=ai_for_that,$0.70/message,8,N/A,5.0,february
SmartWorkBuddy,Content generation,https://smartworkbuddy.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,14,N/A,N/A,february
Personal Chef.AI,Recipes,https://apps.apple.com/us/app/personal-chef-ai/id6473223355?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $0.99,11,N/A,N/A,february
Docufai,Document Q&A,https://www.docufai.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,9,N/A,N/A,february
SearchPlus,Document Q&A,https://www.searchplus.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $12/mo,2,N/A,N/A,february
StockMarketGPT,Investment research,https://www.stockmarketgpt.co/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,10,N/A,3.0,february
Database Tracker and Memory Manager,Data management,https://chat.openai.com/g/g-g2J4SOmxM-database-tracker-and-memory-manager?ref=taaft&utm_source=taaft&utm_medium=referral,Free,10,N/A,N/A,february
Techmart AI,Startup advice,https://chat.jointechmart.com/?ref=taaft&utm_source=taaft&utm_medium=referral,Free,24,N/A,5.0,february
Summa,Exam preparation,https://summacourse.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,13,N/A,N/A,february
Reggie,Language learning,https://reggelia.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,8,N/A,5.0,february
D&D Character Portraits,D&D style avatars,https://www.dndcharacterportraits.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,7,N/A,N/A,february
AI Photo Generator,Image generation,https://apps.apple.com/us/app/ai-photo-generator-photo-ai/id6470383042?ref=taaft&utm_source=taaft&utm_medium=referral,From $14.99,4,N/A,N/A,february
Wishgram,Greeting cards,https://www.wishgram.xyz/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,4,N/A,N/A,february
Data Query Helper,SQL queries,https://chat.openai.com/g/g-W5JUIsHet-data-query-helper?ref=taaft&utm_source=taaft&utm_medium=referral,Free,3,N/A,N/A,february
Typeahead,Screen reading,https://www.typeahead.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $8/mo,2,N/A,N/A,february
Clash of GPTs,AI model comparison,https://www.clashofgpts.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,3,N/A,N/A,february
Copyrocket AI Assistant,Content generation,https://copyrocket.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,From $9.99/mo,10,1,5.0,february
Loud Fame,Anime videos,https://www.loudfame.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,7,N/A,N/A,february
Vana,Virtual avatars,https://www.vana.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,5,42,4.7,february
Davinci Pencil,Drawing,https://apps.apple.com/us/app/davinci-pencil/id6475635484?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $0.99,4,N/A,N/A,february
Fluency,Language learning,https://www.thefluency.app/?ref=taaft&utm_source=taaft&utm_medium=referral,From $3.99/mo,7,1,1.0,february
SmartIntervu,Job recruitment,https://www.smartintervu.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,2,N/A,N/A,february
Interview Coach,Interview preparation,https://chat.openai.com/g/g-x9w4ysF49-interview-coach?ref=taaft&utm_source=taaft&utm_medium=referral,Free,7,N/A,N/A,february
AI Book Title Generator,Book titles,https://booktitlegenerator.app/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,9,2,5.0,february
Shop That Look,Outfits,https://shopthatlook.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,6,1,1.0,february
ShortlistIQ,Candidate screening,https://www.shortlistiq.com/?ref=taaft&utm_source=taaft&utm_medium=referral,From $49/mo,8,N/A,5.0,february
Roast My Website,Website analysis,https://chat.openai.com/g/g-DCYz18lI4-roast-my-website?ref=taaft&utm_source=taaft&utm_medium=referral,Free,8,N/A,5.0,february
AI LMS by Coursebox,Online courses,https://www.coursebox.ai/ai-lms?ref=taaft&utm_source=taaft&utm_medium=referral,$99.50/mo,5,N/A,5.0,february
Chat With RTX,Chatting,https://www.nvidia.com/en-us/ai-on-rtx/chat-with-rtx-generative-ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,11,N/A,N/A,february
StableCascade,Image generation,https://github.com/Stability-AI/StableCascade?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,3,N/A,N/A,february
Infography,Infographics,https://mmntm.me/infography?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,11,N/A,N/A,february
Sierra,Customer service,https://sierra.ai/product?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,6,N/A,N/A,february
CalenAI,Appointment scheduling,https://www.calenai.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,4,N/A,N/A,february
KOZ Digital AI,Business consulting,https://www.koz-ai.com/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,7,N/A,N/A,february
Rubra,Personal assistant,https://rubra.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,1,N/A,N/A,february
GetSite,Website building,https://www.getsite.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from $49,1,N/A,N/A,february
NeedBook,Book recommendations,https://www.needbook.lol/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,2,N/A,N/A,february
Yona,Companionship,https://yona.ai/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,N/A,N/A,N/A,february
LinkedIn Post Wizard,Linkedin posts,https://chat.openai.com/g/g-9nvIq9Zvx-linkedin-post-wizard?ref=taaft&utm_source=taaft&utm_medium=referral,Free,4,N/A,N/A,february
Chatmate,Customer engagement,https://chatmate.fly.dev/?ref=taaft&utm_source=taaft&utm_medium=referral,No pricing,1,N/A,N/A,february
AutoCut,Video editing,https://www.autocut.fr/en/?utm_source=thereisanaiforthat&utm_campaign=directories,From $6.6/mo,3,N/A,N/A,february
Favikon,Influencer marketing,https://www.favikon.com/?ref=taaft&utm_source=taaft&utm_medium=referral,Free from €49,N/A,N/A,N/A,february
